Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
74	:	1681689336.384	     5.980	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.44 &&          ./mzasolve 0.02 0.44 ./output/output_y0_0.02_z0_0.44/timeseries_y0_0.02_z0_0.44.nc > ./output/output_y0_0.02_z0_0.44/output_y0_0.02_z0_0.44.txt
73	:	1681689336.064	     6.485	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.42 &&          ./mzasolve 0.02 0.42 ./output/output_y0_0.02_z0_0.42/timeseries_y0_0.02_z0_0.42.nc > ./output/output_y0_0.02_z0_0.42/output_y0_0.02_z0_0.42.txt
78	:	1681689337.955	     4.637	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.52 &&          ./mzasolve 0.02 0.52 ./output/output_y0_0.02_z0_0.52/timeseries_y0_0.02_z0_0.52.nc > ./output/output_y0_0.02_z0_0.52/output_y0_0.02_z0_0.52.txt
79	:	1681689338.023	     4.645	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.54 &&          ./mzasolve 0.02 0.54 ./output/output_y0_0.02_z0_0.54/timeseries_y0_0.02_z0_0.54.nc > ./output/output_y0_0.02_z0_0.54/output_y0_0.02_z0_0.54.txt
80	:	1681689338.053	     4.710	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.56 &&          ./mzasolve 0.02 0.56 ./output/output_y0_0.02_z0_0.56/timeseries_y0_0.02_z0_0.56.nc > ./output/output_y0_0.02_z0_0.56/output_y0_0.02_z0_0.56.txt
81	:	1681689338.091	     4.713	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.58 &&          ./mzasolve 0.02 0.58 ./output/output_y0_0.02_z0_0.58/timeseries_y0_0.02_z0_0.58.nc > ./output/output_y0_0.02_z0_0.58/output_y0_0.02_z0_0.58.txt
82	:	1681689338.118	     4.733	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.60 &&          ./mzasolve 0.02 0.60 ./output/output_y0_0.02_z0_0.60/timeseries_y0_0.02_z0_0.60.nc > ./output/output_y0_0.02_z0_0.60/output_y0_0.02_z0_0.60.txt
83	:	1681689338.165	     4.733	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.62 &&          ./mzasolve 0.02 0.62 ./output/output_y0_0.02_z0_0.62/timeseries_y0_0.02_z0_0.62.nc > ./output/output_y0_0.02_z0_0.62/output_y0_0.02_z0_0.62.txt
84	:	1681689338.517	     4.536	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.64 &&          ./mzasolve 0.02 0.64 ./output/output_y0_0.02_z0_0.64/timeseries_y0_0.02_z0_0.64.nc > ./output/output_y0_0.02_z0_0.64/output_y0_0.02_z0_0.64.txt
85	:	1681689340.396	     4.582	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.66 &&          ./mzasolve 0.02 0.66 ./output/output_y0_0.02_z0_0.66/timeseries_y0_0.02_z0_0.66.nc > ./output/output_y0_0.02_z0_0.66/output_y0_0.02_z0_0.66.txt
86	:	1681689340.572	     4.552	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.68 &&          ./mzasolve 0.02 0.68 ./output/output_y0_0.02_z0_0.68/timeseries_y0_0.02_z0_0.68.nc > ./output/output_y0_0.02_z0_0.68/output_y0_0.02_z0_0.68.txt
87	:	1681689340.729	     4.662	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.70 &&          ./mzasolve 0.02 0.70 ./output/output_y0_0.02_z0_0.70/timeseries_y0_0.02_z0_0.70.nc > ./output/output_y0_0.02_z0_0.70/output_y0_0.02_z0_0.70.txt
102	:	1681689345.192	     0.360	0	0	5	0	mkdir -p ./output/output_y0_0.02_z0_1.00 &&          ./mzasolve 0.02 1.00 ./output/output_y0_0.02_z0_1.00/timeseries_y0_0.02_z0_1.00.nc > ./output/output_y0_0.02_z0_1.00/output_y0_0.02_z0_1.00.txt
90	:	1681689342.283	     4.193	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.76 &&          ./mzasolve 0.02 0.76 ./output/output_y0_0.02_z0_0.76/timeseries_y0_0.02_z0_0.76.nc > ./output/output_y0_0.02_z0_0.76/output_y0_0.02_z0_0.76.txt
88	:	1681689342.168	     4.599	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.72 &&          ./mzasolve 0.02 0.72 ./output/output_y0_0.02_z0_0.72/timeseries_y0_0.02_z0_0.72.nc > ./output/output_y0_0.02_z0_0.72/output_y0_0.02_z0_0.72.txt
89	:	1681689342.238	     4.600	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.74 &&          ./mzasolve 0.02 0.74 ./output/output_y0_0.02_z0_0.74/timeseries_y0_0.02_z0_0.74.nc > ./output/output_y0_0.02_z0_0.74/output_y0_0.02_z0_0.74.txt
91	:	1681689342.364	     4.572	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.78 &&          ./mzasolve 0.02 0.78 ./output/output_y0_0.02_z0_0.78/timeseries_y0_0.02_z0_0.78.nc > ./output/output_y0_0.02_z0_0.78/output_y0_0.02_z0_0.78.txt
